"season","opponent","data","player","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team"
2018,"Cal Lutheran University","defense","S. Satterlee","6","5","11","1.0/4","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2018,"Cal Lutheran University","defense","Benjamin Cooney","4","3","7","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2018,"Cal Lutheran University","defense","Cade Moffatt","7","-","7","-/-","-","-/-","-","-","0-0","-/-","-","-","3","-","-","home"
2018,"Cal Lutheran University","defense","Mitchell Allan","4","3","7","2.0/6","2.0","1.0/4","1.0","-","0-0","-/-","-","-","-","-","-","home"
2018,"Cal Lutheran University","defense","Connor Lehner","4","2","6","1.0/2","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2018,"Cal Lutheran University","defense","Dylan Porter","4","1","5","1.0/2","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2018,"Cal Lutheran University","defense","M. Cooney","1","3","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2018,"Cal Lutheran University","defense","Camrion Davis","3","-","3","1.0/10","1.0","-/-","-","-","0-0","-/-","-","-","-","-","1","home"
2018,"Cal Lutheran University","defense","Alex Plunk","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2018,"Cal Lutheran University","defense","C. Henderson","1","-","1","-/-","-","-/-","-","-","0-1","1/-","-","-","-","-","-","home"
2018,"Cal Lutheran University","defense","J. Cartwright","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2018,"Cal Lutheran University","defense","Grant Braught","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2018,"Cal Lutheran University","defense","Matt Niemann","1","-","1","-/-","-","-/-","-","1","1-0","-/-","-","-","-","-","-","home"
2018,"Cal Lutheran University","defense","Luke Livingston","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2018,"Cal Lutheran University","defense","Sevion DaCosta","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2018,"Cal Lutheran University","defense","Trent Lindsey","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2018,"Cal Lutheran University","defense","Mason Hernandez","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2018,"Cal Lutheran University","defense","Nick Parise","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2018,"Cal Lutheran University","defense","Ethan Pulley","6","16","22","1.0/2","1.0","-/-","-","-","0-0","-/-","-","-","-","-","2","away"
2018,"Cal Lutheran University","defense","Zion Brown","3","5","8","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2018,"Cal Lutheran University","defense","Izayah Mora","5","3","8","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away"
2018,"Cal Lutheran University","defense","Mason Evans","4","4","8","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2018,"Cal Lutheran University","defense","A. Rios-Carlsen","1","5","6","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","1","away"
2018,"Cal Lutheran University","defense","JW Windsor","1","5","6","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2018,"Cal Lutheran University","defense","Ty Lozano","3","2","5","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2018,"Cal Lutheran University","defense","Tecoy Porter","2","3","5","1.0/5","1.0","1.0/5","1.0","-","0-0","-/-","-","-","-","-","2","away"
2018,"Cal Lutheran University","defense","Obasi Dees","2","2","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2018,"Cal Lutheran University","defense","Caleb Casimere","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2018,"Cal Lutheran University","defense","Cameron James","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2018,"Cal Lutheran University","defense","C. Sanchez","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2018,"Cal Lutheran University","defense","Chris Kilgore","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2018,"Cal Lutheran University","defense","E. Amaugo","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2018,"Chapman University","defense","Benjamin Cooney","4","1","5","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
