"season","opponent","data","player","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team"
2019,"Cal Lutheran University","defense","Ethan Pulley","9","7","16","1.5/2","1.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2019,"Cal Lutheran University","defense","Connor McDermott","5","10","15","1.5/2","1.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2019,"Cal Lutheran University","defense","Zion Brown","2","4","6","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2019,"Cal Lutheran University","defense","Trey Brown","4","2","6","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2019,"Cal Lutheran University","defense","Tecoy Porter","4","1","5","2.0/15","2.0","2.0/15","2.0","-","0-0","-/-","-","-","-","-","-","home"
2019,"Cal Lutheran University","defense","Brandon Monroe","1","3","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2019,"Cal Lutheran University","defense","William Kelly","2","2","4","1.5/5","1.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2019,"Cal Lutheran University","defense","Obasi Dees","1","3","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2019,"Cal Lutheran University","defense","Thomas Bambrick","2","2","4","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2019,"Cal Lutheran University","defense","Caleb Casimere","-","3","3","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2019,"Cal Lutheran University","defense","John Moore","1","2","3","-/-","-","-/-","-","-","0-0","-/-","1-15","1","1","-","-","home"
2019,"Cal Lutheran University","defense","Tony Gutierrez","-","3","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2019,"Cal Lutheran University","defense","Randal Voutt","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2019,"Cal Lutheran University","defense","Jamon Ward","-","2","2","-/-","-","-/-","-","-","0-0","-/-","1-9","1","1","-","-","home"
2019,"Cal Lutheran University","defense","Shaihi Baker","1","1","2","0.5/-","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2019,"Cal Lutheran University","defense","JD Lang","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2019,"Cal Lutheran University","defense","Cameron Jones","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
