"season","opponent","data","player","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team"
2010,"Cal Lutheran University","defense","Ben Salzman","5","8","13","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Matt Laredo","5","3","8","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Blake Kos","5","2","7","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Adam Morris","5","1","6","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Joey Liekweg","3","3","6","-/-","-","-/-","-","-","0-2","2/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","David Spiller","4","2","6","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Elijah Chiang","4","-","4","1.0/2","1.0","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2010,"Cal Lutheran University","defense","Kyle Hansen","2","2","4","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2010,"Cal Lutheran University","defense","Sae Bin Park","3","-","3","-/-","-","-/-","-","1","1-0","-/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Dylan Marcoot","1","2","3","0.5/2","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Ed Mills","-","3","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Scott Yingling","2","-","2","1.0/2","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Rory Baird","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Jake Weyerhaeuser","1","-","1","-/-","-","-/-","-","1","1-0","-/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Jack Lamb","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Ryan Baker","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Erick Janicki","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Cameron Conley","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Peter Schock","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Michael Mavredakis","-","-","-","-/-","-","-/-","-","-","0-1","1/-","-","-","-","-","-","home"
2010,"Cal Lutheran University","defense","Jacob Norlock","6","8","14","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2010,"Cal Lutheran University","defense","Matt O'Brien","4","8","12","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2010,"Cal Lutheran University","defense","Jordan Barta","2","7","9","1.5/2","1.5","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2010,"Cal Lutheran University","defense","Jeff Miller","4","4","8","1.5/6","1.5","1.0/5","1.0","-","0-0","-/-","-","-","-","-","-","away"
2010,"Cal Lutheran University","defense","Christopher Cabrera","3","3","6","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2010,"Cal Lutheran University","defense","Rian Younker","1","4","5","1.0/4","1.0","-/-","-","1","1-1","1/-","-","-","-","-","-","away"
2010,"Cal Lutheran University","defense","JD Austin","3","1","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2010,"Cal Lutheran University","defense","Brett Lewis","2","2","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2010,"Cal Lutheran University","defense","Patrick Knox","1","2","3","1.0/4","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2010,"Cal Lutheran University","defense","Michael Azhocar","2","1","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2010,"Cal Lutheran University","defense","Sean Post","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2010,"Cal Lutheran University","defense","Jon Swan","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2010,"Cal Lutheran University","defense","Tim Cozine","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2010,"Cal Lutheran University","defense","Steven Keezer","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2010,"Cal Lutheran University","defense","Max Eller","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2010,"Cal Lutheran University","defense","Broc Galbreth","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away"
2010,"Cal Lutheran University","defense","Francisco Coronado","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2010,"Cal Lutheran University","defense","James Emma","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2010,"Chapman University","defense","Tognoni","3","7","10","1.5/3","1.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Chapman University","defense","Mills","1","7","8","1.5/4","1.5","0.5/2","0.5","-","0-0","-/-","-","-","-","-","-","home"
2010,"Chapman University","defense","Laredo","5","2","7","2.0/3","2.0","-/-","-","1","1-0","-/-","-","-","-","-","-","home"
2010,"Chapman University","defense","Morris","1","4","5","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Chapman University","defense","Kos","2","3","5","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Chapman University","defense","Hansen","3","1","4","-/-","-","-/-","-","-","0-1","1/-","-","-","1","-","-","home"
2010,"Chapman University","defense","Salzman","-","4","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2010,"Chapman University","defense","Marcoot","1","3","4","1.5/4","1.5","0.5/3","0.5","-","0-1","1/-","-","-","-","-","-","home"
2010,"Chapman University","defense","Schock","-","4","4","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
