"season","opponent","data","player","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team"
2011,"Cal Lutheran University","defense","Loren Powers","2","4","6","0.5/1","0.5","-/-","-","1","1-0","-/-","-","-","-","-","1","home"
2011,"Cal Lutheran University","defense","Rian Younker","3","2","5","1.0/5","1.0","1.0/5","1.0","-","0-0","-/-","-","-","-","-","-","home"
2011,"Cal Lutheran University","defense","Tim Cozine","3","1","4","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2011,"Cal Lutheran University","defense","Chris Cabrera","2","2","4","1.0/4","1.0","1.0/4","1.0","-","0-0","-/-","-","-","-","-","2","home"
2011,"Cal Lutheran University","defense","Jacob Norlock","3","1","4","1.0/2","1.0","-/-","-","-","0-0","-/-","-","-","-","-","1","home"
2011,"Cal Lutheran University","defense","Tanner Hix","3","1","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2011,"Cal Lutheran University","defense","Chris Carr","2","2","4","1.5/2","1.5","-/-","-","-","0-0","-/-","-","-","-","-","1","home"
2011,"Cal Lutheran University","defense","Caius Radu","3","-","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2011,"Cal Lutheran University","defense","Broc Galbreth","2","1","3","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2011,"Cal Lutheran University","defense","Danny Valdez","3","-","3","1.0/2","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2011,"Cal Lutheran University","defense","Daniel Azhocar","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2011,"Cal Lutheran University","defense","Dennis Clay","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2011,"Cal Lutheran University","defense","Luis Villavicencio","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2011,"Cal Lutheran University","defense","Anthony Goodman","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2011,"Cal Lutheran University","defense","Anthony Monroe","2","-","2","1.0/2","1.0","-/-","-","1","1-0","-/-","-","-","-","-","-","home"
2011,"Cal Lutheran University","defense","Jake Laudenslayer","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
