"season","opponent","data","player","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team"
2014,"Cal Lutheran University","defense","Max Winsberg","8","5","13","2.0/21","2.0","2.0/21","2.0","-","0-0","-/-","-","-","-","-","-","home"
2014,"Cal Lutheran University","defense","Tiger Brown","8","4","12","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2014,"Cal Lutheran University","defense","A.J. Herrera","4","6","10","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2014,"Cal Lutheran University","defense","Eduardo Ramirez","5","3","8","2.0/4","2.0","1.0/1","1.0","-","0-0","-/-","-","-","-","1","-","home"
2014,"Cal Lutheran University","defense","Victor Bunce","6","2","8","-/-","-","-/-","-","-","0-0","-/-","1-15","1","2","-","-","home"
2014,"Cal Lutheran University","defense","Geno Quaid","3","3","6","-/-","-","-/-","-","-","0-0","-/-","1-20","1","-","-","-","home"
2014,"Cal Lutheran University","defense","Will Shannon","2","2","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2014,"Cal Lutheran University","defense","Henry Wei","-","4","4","0.5/-","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2014,"Cal Lutheran University","defense","Paul Slaats","3","1","4","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2014,"Cal Lutheran University","defense","Gator Adams","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2014,"Cal Lutheran University","defense","Alex Chang","2","1","3","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2014,"Cal Lutheran University","defense","Brendan MacDonald","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2014,"Cal Lutheran University","defense","Wyatt Rouser","-","2","2","0.5/-","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2014,"Cal Lutheran University","defense","Nick Nasse","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","1","-","home"
2014,"Cal Lutheran University","defense","Chris Fang","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2014,"Cal Lutheran University","defense","Robby Weissenfels","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2014,"Cal Lutheran University","defense","Austin Crist","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2014,"Cal Lutheran University","defense","TEAM","-","-","-","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2014,"Cal Lutheran University","defense","Ronny Camacho","6","3","9","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2014,"Cal Lutheran University","defense","Trevor Roe","5","1","6","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2014,"Cal Lutheran University","defense","Robert Foy","4","2","6","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2014,"Cal Lutheran University","defense","Maxwell Richman","3","3","6","2.0/3","2.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2014,"Cal Lutheran University","defense","Eddie Flores","4","1","5","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2014,"Cal Lutheran University","defense","Erron Christmas","4","-","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2014,"Cal Lutheran University","defense","Josh Heidemann","2","1","3","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2014,"Cal Lutheran University","defense","Xavier Fuery","3","-","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2014,"Cal Lutheran University","defense","Steven David","3","-","3","2.0/5","2.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2014,"Cal Lutheran University","defense","Trent Turner","1","1","2","-/-","-","-/-","-","1","1-0","-/-","-","-","-","-","-","away"
2014,"Cal Lutheran University","defense","Lucas Quinn","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2014,"Cal Lutheran University","defense","Nathaniel Thompson","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2014,"Cal Lutheran University","defense","Randall Shumpert Jr.","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2014,"Cal Lutheran University","defense","Corey Lee","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
