"season","opponent","data","player","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team"
2015,"Cal Lutheran University","defense","EJ Edinburgh","10","3","13","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2015,"Cal Lutheran University","defense","R. Hernandez","7","1","8","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2015,"Cal Lutheran University","defense","J. Heidemann","4","3","7","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2015,"Cal Lutheran University","defense","Trevor Roe","4","3","7","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2015,"Cal Lutheran University","defense","Cale Dester","3","3","6","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2015,"Cal Lutheran University","defense","D. Rothschild","2","3","5","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2015,"Cal Lutheran University","defense","Ronny Camacho","4","1","5","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2015,"Cal Lutheran University","defense","Logan Sanders","3","1","4","1.0/2","1.0","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2015,"Cal Lutheran University","defense","Lucas Quinn","2","2","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2015,"Cal Lutheran University","defense","K. Duffy-Huerta","2","2","4","1.0/2","1.0","1.0/2","1.0","-","0-0","-/-","-","-","-","-","-","home"
2015,"Cal Lutheran University","defense","Josh Bartley","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2015,"Cal Lutheran University","defense","K TurnerJackson","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2015,"Cal Lutheran University","defense","Dalton Santos","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2015,"Cal Lutheran University","defense","Brysen Kokubun","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2015,"Cal Lutheran University","defense","Isaac Seymour","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2015,"Cal Lutheran University","defense","Casey Cole","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2015,"Cal Lutheran University","defense","Michael Welch","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2015,"Cal Lutheran University","defense","R. Weissenfels","8","1","9","2.0/5","2.0","2.0/5","2.0","-","0-0","-/-","-","-","-","-","-","away"
2015,"Cal Lutheran University","defense","B. MacDonald","1","5","6","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2015,"Cal Lutheran University","defense","Andrew Sova","1","3","4","1.0/6","1.0","1.0/6","1.0","-","0-0","-/-","-","-","-","-","-","away"
2015,"Cal Lutheran University","defense","Henry Wei","1","3","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2015,"Cal Lutheran University","defense","James Ingram","3","-","3","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","1","-","-","away"
2015,"Cal Lutheran University","defense","Tiger Brown","3","-","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2015,"Cal Lutheran University","defense","Gator Adams","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2015,"Cal Lutheran University","defense","Will Shannon","2","1","3","-/-","-","-/-","-","-","0-0","-/-","1-0","1","-","-","-","away"
2015,"Cal Lutheran University","defense","Geno Quaid","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away"
2015,"Cal Lutheran University","defense","Trey Smith","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2015,"Cal Lutheran University","defense","Eduardo Ramirez","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2015,"Cal Lutheran University","defense","Jackson Zeledon","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2015,"Cal Lutheran University","defense","Will Edwards","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2015,"Cal Lutheran University","defense","Jake Glasser","-","1","1","0.5/6","0.5","0.5/6","0.5","-","0-0","-/-","-","-","-","-","-","away"
