"season","opponent","data","player","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team"
2016,"Cal Lutheran University","defense","Mitchell Allan","3","7","10","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2016,"Cal Lutheran University","defense","Griffin Lazarus","5","3","8","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2016,"Cal Lutheran University","defense","Will Edwards","4","4","8","2.0/4","2.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2016,"Cal Lutheran University","defense","Robby Weissenfels","4","3","7","-/-","-","-/-","-","-","0-0","-/-","-","-","-","3","-","home"
2016,"Cal Lutheran University","defense","Brendan MacDonald","2","5","7","-/-","-","-/-","-","-","0-1","1/1","-","-","1","-","-","home"
2016,"Cal Lutheran University","defense","Victor Bunce","2","3","5","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2016,"Cal Lutheran University","defense","Tyson-Jay Saena","1","4","5","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2016,"Cal Lutheran University","defense","Mackenzie Cooney","2","2","4","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2016,"Cal Lutheran University","defense","Jake Glasser","2","2","4","1.0/2","1.0","1.0/2","1.0","-","0-0","-/-","-","-","-","-","-","home"
2016,"Cal Lutheran University","defense","Paul Slaats","-","4","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2016,"Cal Lutheran University","defense","Tiger Brown","2","1","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2016,"Cal Lutheran University","defense","Geno Quaid","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","2","-","-","home"
2016,"Cal Lutheran University","defense","Frankie Rayis","-","2","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2016,"Cal Lutheran University","defense","Luke Livingston","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2016,"Cal Lutheran University","defense","TEAM","2","-","2","1.0/1","1.0","-/-","-","2","2-0","-/-","-","-","-","-","-","home"
