"season","opponent","data","player","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team"
2012,"Cal Lutheran University","defense","Eduardo Ramirez","3","7","10","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2012,"Cal Lutheran University","defense","Jackie Coburn","4","5","9","1.5/8","1.5","1.0/7","1.0","-","0-0","-/-","-","-","1","-","-","home"
2012,"Cal Lutheran University","defense","James Ingram","6","3","9","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2012,"Cal Lutheran University","defense","A.J. Herrera","5","4","9","1.0/2","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2012,"Cal Lutheran University","defense","Zach Mobilian","3","5","8","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2012,"Cal Lutheran University","defense","Phil Crawford","5","2","7","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2012,"Cal Lutheran University","defense","John O'Brien","1","5","6","1.0/2","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2012,"Cal Lutheran University","defense","Will Shannon","3","2","5","1.5/10","1.5","1.0/10","1.0","-","0-0","-/-","-","-","-","-","-","home"
2012,"Cal Lutheran University","defense","Alex Chang","1","3","4","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2012,"Cal Lutheran University","defense","Max Winsberg","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2012,"Cal Lutheran University","defense","Luke Ihle","-","2","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2012,"Cal Lutheran University","defense","Kris Otterholt","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2012,"Cal Lutheran University","defense","Ryan Farney","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2012,"Cal Lutheran University","defense","Michael Connell","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2012,"Cal Lutheran University","defense","Steven Kohr","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2012,"Cal Lutheran University","defense","Alex Krall","1","-","1","-/-","-","-/-","-","-","0-1","1/-","-","-","-","-","-","home"
2012,"Cal Lutheran University","defense","Nick Nasse","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2012,"Cal Lutheran University","defense","Brett Collins","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2012,"Cal Lutheran University","defense","Daniel Azhocar","3","8","11","0.5/-","0.5","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Derrick Romo","5","4","9","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Tim Cozine","4","4","8","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Broc Galbreth","3","4","7","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Tanner Hix","-","7","7","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Rian Younker","4","3","7","2.5/8","2.5","1.0/5","1.0","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Dontaie Ferguson","1","3","4","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","James Emma","2","2","4","1.0/2","1.0","-/-","-","-","0-0","-/-","1-8","1","-","-","-","away"
2012,"Cal Lutheran University","defense","Billy Livingston","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Patrick Knox","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Nick Grodotzke","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Steven Keezer","1","1","2","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Caius Radu","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","JD Austin","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Vincent Minor","2","-","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Christian Bradl","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","J.D. Austin","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","David Rico","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Nikolas Kessler","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Anthony Goodman","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Chris Miller","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Maurice Clement","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Elliot Reyes","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Cal Lutheran University","defense","Michael Cornejo","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2012,"Chapman University","defense","Eduardo Ramirez","9","7","16","2.0/2","2.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
