"season","player","jersey","opponent","data","player_squish","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team","game_id","class","school","position","height","weight","hometown","highschool","hometown_hs","url"
2009,"Rymer",NA,"Chapman University","defense","rymer","5","1","6","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Salzman",NA,"Chapman University","defense","salzman","2","1","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Stephen Sales",NA,"Chapman University","defense","stephen sales","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Steve Downs",NA,"Chapman University","defense","steve downs","6","1","7","-/-","-","-/-","-","1","1-0","-/-","-","-","-","-","-","home",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Team",NA,"Chapman University","defense","team","5","-","5","-/-","-","-/-","-","-","0-1","1/-","-","-","-","-","-","home",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Team",NA,"Chapman University","defense","team","3","-","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Tognoni",NA,"Chapman University","defense","tognoni","3","-","3","2.0/2","2.0","-/-","-","-","0-0","-/-","2-63","2","1","-","-","away",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Tyler Halstead",NA,"Chapman University","defense","tyler halstead","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Weyerhauser",NA,"Chapman University","defense","weyerhauser","2","-","2","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","away",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Willie Robbins",NA,"Chapman University","defense","willie robbins","2","-","2","1.0/4","1.0","-/-","-","1","1-0","-/-","-","-","-","-","-","home",7492,NA,NA,NA,NA,NA,NA,NA,NA,NA
