"season","opponent","data","player","solo","ast","tot","tfl_yds","tfl","sack_yds","sacks","ff","fr_yds","fumbl","int","int_1","brup","blkd","qh","team"
2013,"Cal Lutheran University","defense","Chris Cabrera","5","6","11","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","2","-","-","home"
2013,"Cal Lutheran University","defense","Nikolas Kessler","5","3","8","2.0/5","2.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2013,"Cal Lutheran University","defense","Derrick Romo","4","2","6","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2013,"Cal Lutheran University","defense","Anthony Monroe","5","1","6","2.0/8","2.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2013,"Cal Lutheran University","defense","Matthew Arve","3","3","6","0.5/1","0.5","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2013,"Cal Lutheran University","defense","John Perkins","2","3","5","1.0/2","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2013,"Cal Lutheran University","defense","Josh Bartley","2","2","4","-/-","-","-/-","-","-","0-0","-/-","1-0","1","-","-","-","home"
2013,"Cal Lutheran University","defense","Jagade Snyder","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2013,"Cal Lutheran University","defense","RandallShumpert","1","2","3","1.0/1","1.0","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2013,"Cal Lutheran University","defense","Ed Davis","3","-","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2013,"Cal Lutheran University","defense","Chris Miller","1","2","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2013,"Cal Lutheran University","defense","Nick Grodotzke","3","-","3","2.0/8","2.0","1.0/7","1.0","-","0-0","-/-","-","-","-","-","-","home"
2013,"Cal Lutheran University","defense","Deonte Ragas","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2013,"Cal Lutheran University","defense","Bryce Henderson","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2013,"Cal Lutheran University","defense","KodyDuffyHuerta","1","-","1","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2013,"Cal Lutheran University","defense","Chris Johnson","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","home"
2013,"Cal Lutheran University","defense","Elliot Reyes","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2013,"Cal Lutheran University","defense","Cameron McGee","-","1","1","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","home"
2013,"Cal Lutheran University","defense","Joey Liekweg","7","3","10","1.0/2","1.0","-/-","-","-","0-0","-/-","-","-","1","-","-","away"
2013,"Cal Lutheran University","defense","Alex Chang","5","4","9","3.0/12","3.0","1.0/4","1.0","-","0-0","-/-","-","-","-","-","-","away"
2013,"Cal Lutheran University","defense","Max Winsberg","5","3","8","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2013,"Cal Lutheran University","defense","Nick Nasse","5","2","7","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away"
2013,"Cal Lutheran University","defense","Eduardo Ramirez","4","3","7","1.0/6","1.0","1.0/6","1.0","-","0-0","-/-","-","-","-","-","-","away"
2013,"Cal Lutheran University","defense","A.J. Herrera","1","5","6","-/-","-","-/-","-","-","0-0","-/-","-","-","1","-","-","away"
2013,"Cal Lutheran University","defense","Phil Crawford","3","2","5","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2013,"Cal Lutheran University","defense","Andrew Sova","2","2","4","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2013,"Cal Lutheran University","defense","Tiger Brown","3","-","3","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
2013,"Cal Lutheran University","defense","Chris Fang","1","1","2","-/-","-","-/-","-","-","0-0","-/-","-","-","-","-","-","away"
